DATE,CUUR0000SEHB
2022-01-01,163.968
2022-02-01,172.949
2022-03-01,184.463
2022-04-01,189.951
2022-05-01,194.733
2022-06-01,193.324
2022-07-01,189.446
2022-08-01,185.970
2022-09-01,179.733
2022-10-01,178.981
2022-11-01,171.458
2022-12-01,170.729
2023-01-01,176.578
2023-02-01,184.583
2023-03-01,197.855
2023-04-01,196.239
2023-05-01,201.364
2023-06-01,202.106
2023-07-01,200.893
2023-08-01,191.511
2023-09-01,192.906
2023-10-01,181.157
2023-11-01,172.922
2023-12-01,171.025
2024-01-01,178.309
